iso3,name
AFG,Afghanistan
COL,Colombia
ETH,Ethiopia
NGA,Nigeria
PHL,Philippines
SDN,Sudan
TUR,Turkey
UKR,Ukraine
YEM,Yemen
MMR,Myanmar
SYR,Syrian Arab Republic
HTI,Haiti
