iso3,country_name, population ,as_of,source
IMN,Isle of Man," 84,160 ",2024,World Bank
IND,India," 1,450,935,791 ",2024,World Bank
INX,,,2024,World Bank
IRL,Ireland," 5,395,790 ",2024,World Bank
IRN,Iran," 91,567,738 ",2024,World Bank
IRQ,Iraq," 46,042,015 ",2024,World Bank
ISL,Iceland," 386,506 ",2024,World Bank
ISR,Israel," 9,974,400 ",2024,World Bank
ITA,Italy," 58,952,704 ",2024,World Bank
JAM,Jamaica," 2,839,175 ",2024,World Bank
JOR,Jordan," 11,552,876 ",2024,World Bank
JPN,Japan," 123,975,371 ",2024,World Bank
KAZ,Kazakhstan," 20,592,571 ",2024,World Bank
KEN,Kenya," 56,432,944 ",2024,World Bank
KGZ,Kyrgyzstan," 7,221,868 ",2024,World Bank
KHM,Cambodia," 17,638,801 ",2024,World Bank
KIR,Kiribati," 134,518 ",2024,World Bank
KNA,Saint Kitts and Nevis," 46,843 ",2024,World Bank
KOR,South Korea (Republic of)," 51,751,065 ",2024,World Bank
KWT,Kuwait," 4,897,263 ",2024,World Bank
LAC,," 594,158,638 ",2024,World Bank
LAO,Laos," 7,769,819 ",2024,World Bank
LBN,Lebanon," 5,805,962 ",2024,World Bank
LBR,Liberia," 5,612,817 ",2024,World Bank
LBY,Libya," 7,381,023 ",2024,World Bank
LCA,Saint Lucia," 179,744 ",2024,World Bank
LCN,," 662,186,388 ",2024,World Bank
LDC,," 1,187,777,591 ",2024,World Bank
LIC,," 624,608,098 ",2024,World Bank
LIE,Liechtenstein," 40,450 ",2024,World Bank
LKA,Sri Lanka," 21,916,000 ",2024,World Bank
LMC,," 3,120,980,912 ",2024,World Bank
LMY,," 6,563,501,708 ",2024,World Bank
LSO,Lesotho," 2,337,423 ",2024,World Bank
LTE,," 2,328,628,339 ",2024,World Bank
LTU,Lithuania," 2,888,278 ",2024,World Bank
LUX,Luxembourg," 677,012 ",2024,World Bank
LVA,Latvia," 1,866,124 ",2024,World Bank
MAC,Macao SAR China," 687,000 ",2024,World Bank
MAF,Saint Martin (french part)," 26,129 ",2024,World Bank
MAR,Morocco," 38,081,173 ",2024,World Bank
MCO,Monaco," 38,631 ",2024,World Bank
MDA,Moldova," 2,402,306 ",2024,World Bank
MDG,Madagascar," 31,964,956 ",2024,World Bank
MDV,Maldives," 527,799 ",2024,World Bank
MEA,," 813,146,136 ",2024,World Bank
MEX,Mexico," 130,861,007 ",2024,World Bank
MHL,Marshall Islands," 37,548 ",2024,World Bank
MIC,," 5,938,893,610 ",2024,World Bank
MKD,Macedonia," 1,824,359 ",2024,World Bank
MLI,Mali," 24,478,595 ",2024,World Bank
MLT,Malta," 568,847 ",2024,World Bank
MMR,Myanmar," 54,500,091 ",2024,World Bank
MNA,," 741,690,916 ",2024,World Bank
MNE,Montenegro," 623,525 ",2024,World Bank
MNG,Mongolia," 3,524,788 ",2024,World Bank
MNP,Northern Mariana Islands," 44,278 ",2024,World Bank
MOZ,Mozambique," 34,631,766 ",2024,World Bank
MRT,Mauritania," 5,169,395 ",2024,World Bank
MUS,Mauritius," 1,245,779 ",2024,World Bank
MWI,Malawi," 21,655,286 ",2024,World Bank
MYS,Malaysia," 35,557,673 ",2024,World Bank
NAC,," 381,464,223 ",2024,World Bank
NAM,Namibia," 3,030,131 ",2024,World Bank
NCL,New Caledonia," 292,639 ",2024,World Bank
NER,Niger," 27,032,412 ",2024,World Bank
NGA,Nigeria," 232,679,478 ",2024,World Bank
NIC,Nicaragua," 6,916,140 ",2024,World Bank
NLD,Netherlands," 17,993,485 ",2024,World Bank
NOR,Norway," 5,572,279 ",2024,World Bank
NPL,Nepal ," 29,651,054 ",2024,World Bank
NRU,Nauru," 11,947 ",2024,World Bank
NZL,New Zealand," 5,287,500 ",2024,World Bank
OED,," 1,396,877,448 ",2024,World Bank
OMN,Oman," 5,281,538 ",2024,World Bank
OSS,," 12,931,878 ",2024,World Bank
PAK,Pakistan," 251,269,164 ",2024,World Bank
PAN,Panama," 4,515,577 ",2024,World Bank
PER,Peru," 34,217,848 ",2024,World Bank
PHL,Philippines," 115,843,670 ",2024,World Bank
PLW,Palau," 17,695 ",2024,World Bank
PNG,Papua New Guinea," 10,576,502 ",2024,World Bank
POL,Poland," 36,559,233 ",2024,World Bank
PRE,," 1,105,951,788 ",2024,World Bank
PRI,Puerto Rico," 3,203,295 ",2024,World Bank
PRK,North Korea," 26,498,823 ",2024,World Bank
PRT,Portugal," 10,694,681 ",2024,World Bank
PRY,Paraguay," 6,929,153 ",2024,World Bank
PSE,Palestine," 5,289,152 ",2024,World Bank
