iso3,ym,value,coverage,n_cells,dataset_type
IDN,2016-01,-0.147,cells,2397,consolidated_dataset
IMN,2016-01,2.1964,cells,1,consolidated_dataset
IND,2016-01,-0.0271,cells,4440,consolidated_dataset
IOT,2016-01,1.1424,nearest_cell,0,consolidated_dataset
IRL,2016-01,2.3878,cells,153,consolidated_dataset
IRN,2016-01,0.0472,cells,2478,consolidated_dataset
IRQ,2016-01,0.8269,cells,670,consolidated_dataset
ISL,2016-01,-0.3983,cells,307,consolidated_dataset
ISR,2016-01,0.2623,cells,34,consolidated_dataset
ITA,2016-01,-1.7366,cells,521,consolidated_dataset
JAM,2016-01,-0.5066,cells,14,consolidated_dataset
JEY,2016-01,0.5154,nearest_cell,0,consolidated_dataset
JOR,2016-01,0.5414,cells,130,consolidated_dataset
JPN,2016-01,1.2369,cells,603,consolidated_dataset
KAZ,2016-01,1.711,cells,5234,consolidated_dataset
KEN,2016-01,0.9727,cells,759,consolidated_dataset
KGZ,2016-01,0.394,cells,343,consolidated_dataset
KHM,2016-01,-0.0627,cells,242,consolidated_dataset
KIR,2016-01,0.8085,nearest_cell,0,consolidated_dataset
KNA,2016-01,-0.4113,nearest_cell,0,consolidated_dataset
KOR,2016-01,1.5243,cells,155,consolidated_dataset
KWT,2016-01,0.4961,cells,24,consolidated_dataset
LAO,2016-01,1.2646,cells,307,consolidated_dataset
LBN,2016-01,-0.2418,cells,14,consolidated_dataset
LBR,2016-01,-1.3192,cells,121,consolidated_dataset
LBY,2016-01,-0.2353,cells,2357,consolidated_dataset
LCA,2016-01,-0.2071,cells,2,consolidated_dataset
LIE,2016-01,-0.9596,nearest_cell,0,consolidated_dataset
LKA,2016-01,0.4695,cells,87,consolidated_dataset
LSO,2016-01,-1.4259,cells,45,consolidated_dataset
LTU,2016-01,0.245,cells,150,consolidated_dataset
LUX,2016-01,-0.3472,cells,5,consolidated_dataset
LVA,2016-01,-0.0828,cells,149,consolidated_dataset
MAC,2016-01,2.5799,nearest_cell,0,consolidated_dataset
MAF,2016-01,-0.4113,nearest_cell,0,consolidated_dataset
MAR,2016-01,-1.6843,cells,871,consolidated_dataset
MCO,2016-01,-1.8357,nearest_cell,0,consolidated_dataset
MDA,2016-01,0.2483,cells,63,consolidated_dataset
MDG,2016-01,-0.2723,cells,816,consolidated_dataset
MDV,2016-01,0.6319,nearest_cell,0,consolidated_dataset
MEX,2016-01,0.3592,cells,2790,consolidated_dataset
MHL,2016-01,-0.1671,nearest_cell,0,consolidated_dataset
MKD,2016-01,-0.9479,cells,44,consolidated_dataset
MLI,2016-01,-0.0671,cells,1691,consolidated_dataset
MLT,2016-01,-1.7171,nearest_cell,0,consolidated_dataset
MMR,2016-01,0.2328,cells,913,consolidated_dataset
MNE,2016-01,-1.3986,cells,27,consolidated_dataset
MNG,2016-01,0.6978,cells,2945,consolidated_dataset
MNP,2016-01,-1.2114,nearest_cell,0,consolidated_dataset
MOZ,2016-01,-0.9507,cells,1076,consolidated_dataset
MRT,2016-01,-0.827,cells,1445,consolidated_dataset
MSR,2016-01,-0.3137,nearest_cell,0,consolidated_dataset
MUS,2016-01,-0.4839,cells,3,consolidated_dataset
MWI,2016-01,-0.4182,cells,161,consolidated_dataset
MYS,2016-01,-0.5164,cells,426,consolidated_dataset
NAM,2016-01,-0.2537,cells,1145,consolidated_dataset
NCL,2016-01,-0.8208,cells,27,consolidated_dataset
NER,2016-01,0.0202,cells,1606,consolidated_dataset
NFK,2016-01,-1.1455,nearest_cell,0,consolidated_dataset
NGA,2016-01,-0.7683,cells,1198,consolidated_dataset
NIC,2016-01,0.6783,cells,164,consolidated_dataset
NIU,2016-01,-0.8159,nearest_cell,0,consolidated_dataset
NLD,2016-01,0.8077,cells,73,consolidated_dataset
NOR,2016-01,0.5095,cells,1368,consolidated_dataset
NPL,2016-01,-0.2321,cells,221,consolidated_dataset
NRU,2016-01,-0.1671,nearest_cell,0,consolidated_dataset
NZL,2016-01,-0.3664,cells,467,consolidated_dataset
OMN,2016-01,-0.4742,cells,437,consolidated_dataset
PAK,2016-01,-0.2773,cells,1306,consolidated_dataset
PAN,2016-01,-0.1964,cells,98,consolidated_dataset
PCN,2016-01,1.781,nearest_cell,0,consolidated_dataset
PER,2016-01,-1.1262,cells,1705,consolidated_dataset
PHL,2016-01,-0.7079,cells,385,consolidated_dataset
PLW,2016-01,-1.4496,nearest_cell,0,consolidated_dataset
PNG,2016-01,-0.3705,cells,609,consolidated_dataset
POL,2016-01,-0.0856,cells,655,consolidated_dataset
PRI,2016-01,-0.3294,cells,12,consolidated_dataset
PRK,2016-01,1.4096,cells,202,consolidated_dataset
PRT,2016-01,-0.1024,cells,155,consolidated_dataset
PRY,2016-01,1.0861,cells,564,consolidated_dataset
PSE,2016-01,0.4963,cells,12,consolidated_dataset
PYF,2016-01,-0.3956,cells,3,consolidated_dataset
QAT,2016-01,0.6232,cells,14,consolidated_dataset
RKS,2016-01,-0.5788,cells,19,consolidated_dataset
ROU,2016-01,0.0147,cells,434,consolidated_dataset
RUS,2016-01,-0.0168,cells,46645,consolidated_dataset
RWA,2016-01,0.7957,cells,35,consolidated_dataset
SAU,2016-01,0.6297,cells,2737,consolidated_dataset
SDN,2016-01,0.3181,cells,2480,consolidated_dataset
SEN,2016-01,0.0329,cells,266,consolidated_dataset
SGP,2016-01,-0.1206,nearest_cell,0,consolidated_dataset
SGS,2016-01,0.1912,cells,8,consolidated_dataset
SHN,2016-01,-1.7959,nearest_cell,0,consolidated_dataset
SLB,2016-01,-0.2642,cells,34,consolidated_dataset
SLE,2016-01,-0.7495,cells,90,consolidated_dataset
SLV,2016-01,1.7204,cells,28,consolidated_dataset
SMR,2016-01,-1.5927,nearest_cell,0,consolidated_dataset
SOM,2016-01,0.2469,cells,848,consolidated_dataset
SPM,2016-01,-1.8392,nearest_cell,0,consolidated_dataset
SRB,2016-01,-0.3049,cells,137,consolidated_dataset
SSD,2016-01,-0.413,cells,813,consolidated_dataset
STP,2016-01,0.9282,cells,1,consolidated_dataset
SUR,2016-01,-1.5095,cells,187,consolidated_dataset
SVK,2016-01,-0.8181,cells,89,consolidated_dataset
SVN,2016-01,-1.5032,cells,39,consolidated_dataset
SWE,2016-01,-0.0224,cells,1254,consolidated_dataset
SWZ,2016-01,-2.1457,cells,25,consolidated_dataset
SXM,2016-01,-0.4113,nearest_cell,0,consolidated_dataset
SYC,2016-01,1.9273,nearest_cell,0,consolidated_dataset
SYR,2016-01,-0.5922,cells,297,consolidated_dataset
TCA,2016-01,0.3803,nearest_cell,0,consolidated_dataset
TCD,2016-01,0.4757,cells,1692,consolidated_dataset
TGO,2016-01,-1.5099,cells,74,consolidated_dataset
THA,2016-01,0.733,cells,692,consolidated_dataset
TJK,2016-01,0.4474,cells,236,consolidated_dataset
TKM,2016-01,0.1812,cells,787,consolidated_dataset
TLS,2016-01,-1.7039,cells,20,consolidated_dataset
TON,2016-01,-1.2932,nearest_cell,0,consolidated_dataset
TTO,2016-01,-1.0146,cells,6,consolidated_dataset
TUN,2016-01,-0.9136,cells,243,consolidated_dataset
TUR,2016-01,-0.5107,cells,1295,consolidated_dataset
TUV,2016-01,-1.3059,nearest_cell,0,consolidated_dataset
TWN,2016-01,1.4936,cells,52,consolidated_dataset
TZA,2016-01,1.0144,cells,1191,consolidated_dataset
UGA,2016-01,0.8065,cells,291,consolidated_dataset
UKR,2016-01,1.0242,cells,1136,consolidated_dataset
URY,2016-01,0.1769,cells,274,consolidated_dataset
USA,2016-01,0.6016,cells,17568,consolidated_dataset
UZB,2016-01,0.8978,cells,770,consolidated_dataset
VAT,2016-01,-1.7552,nearest_cell,0,consolidated_dataset
VCT,2016-01,-0.3129,nearest_cell,0,consolidated_dataset
VEN,2016-01,-1.0094,cells,1186,consolidated_dataset
VGB,2016-01,-0.2763,nearest_cell,0,consolidated_dataset
VIR,2016-01,-0.1992,nearest_cell,0,consolidated_dataset
VNM,2016-01,0.5518,cells,447,consolidated_dataset
VUT,2016-01,-1.4558,cells,16,consolidated_dataset
WLF,2016-01,-2.4844,nearest_cell,0,consolidated_dataset
