iso3,ym,value,coverage,n_cells,dataset_type
FSM,2019-03,0.652,nearest_cell,0,consolidated_dataset
GAB,2019-03,0.4138,cells,337,consolidated_dataset
GBR,2019-03,-0.5372,cells,513,consolidated_dataset
GEO,2019-03,-0.8177,cells,121,consolidated_dataset
GGY,2019-03,-0.6257,nearest_cell,0,consolidated_dataset
GHA,2019-03,0.0553,cells,310,consolidated_dataset
GIN,2019-03,-0.0802,cells,321,consolidated_dataset
GMB,2019-03,-0.1063,cells,18,consolidated_dataset
GNB,2019-03,-1.371,cells,46,consolidated_dataset
GNQ,2019-03,1.3684,cells,31,consolidated_dataset
GRC,2019-03,0.5089,cells,219,consolidated_dataset
GRD,2019-03,-1.4786,nearest_cell,0,consolidated_dataset
GRL,2019-03,-0.4923,cells,10625,consolidated_dataset
GTM,2019-03,-1.2926,cells,148,consolidated_dataset
GUM,2019-03,0.5342,nearest_cell,0,consolidated_dataset
GUY,2019-03,-1.326,cells,274,consolidated_dataset
HKG,2019-03,1.3574,cells,2,consolidated_dataset
HMD,2019-03,0.7179,nearest_cell,0,consolidated_dataset
HND,2019-03,-1.3964,cells,152,consolidated_dataset
HRV,2019-03,-1.0297,cells,101,consolidated_dataset
HTI,2019-03,-0.0246,cells,38,consolidated_dataset
HUN,2019-03,-1.3406,cells,180,consolidated_dataset
IDN,2019-03,-0.1242,cells,2356,consolidated_dataset
IMN,2019-03,-0.3582,cells,1,consolidated_dataset
IND,2019-03,0.2412,cells,4438,consolidated_dataset
IOT,2019-03,-0.2776,nearest_cell,0,consolidated_dataset
IRL,2019-03,0.0409,cells,153,consolidated_dataset
IRN,2019-03,0.8338,cells,2488,consolidated_dataset
IRQ,2019-03,1.0928,cells,670,consolidated_dataset
ISL,2019-03,-0.2086,cells,307,consolidated_dataset
ISR,2019-03,0.5873,cells,34,consolidated_dataset
ITA,2019-03,-0.8642,cells,527,consolidated_dataset
JAM,2019-03,0.2799,cells,14,consolidated_dataset
JEY,2019-03,-0.4974,nearest_cell,0,consolidated_dataset
JOR,2019-03,0.4092,cells,130,consolidated_dataset
JPN,2019-03,-0.8057,cells,605,consolidated_dataset
KAZ,2019-03,-0.1875,cells,5232,consolidated_dataset
KEN,2019-03,-1.1869,cells,759,consolidated_dataset
KGZ,2019-03,-1.2314,cells,341,consolidated_dataset
KHM,2019-03,-0.7183,cells,242,consolidated_dataset
KIR,2019-03,0.3615,nearest_cell,0,consolidated_dataset
KNA,2019-03,-1.8304,nearest_cell,0,consolidated_dataset
KOR,2019-03,-1.4324,cells,155,consolidated_dataset
KWT,2019-03,0.3092,cells,24,consolidated_dataset
LAO,2019-03,-0.742,cells,307,consolidated_dataset
LBN,2019-03,1.0372,cells,15,consolidated_dataset
LBR,2019-03,-0.6295,cells,121,consolidated_dataset
LBY,2019-03,-0.1922,cells,2357,consolidated_dataset
LCA,2019-03,-1.2497,cells,2,consolidated_dataset
LIE,2019-03,0.6769,nearest_cell,0,consolidated_dataset
LKA,2019-03,-0.5198,cells,87,consolidated_dataset
LSO,2019-03,-1.3123,cells,45,consolidated_dataset
LTU,2019-03,0.4455,cells,150,consolidated_dataset
LUX,2019-03,-0.0696,cells,5,consolidated_dataset
LVA,2019-03,0.735,cells,147,consolidated_dataset
MAC,2019-03,1.2789,nearest_cell,0,consolidated_dataset
MAF,2019-03,-1.8304,nearest_cell,0,consolidated_dataset
MAR,2019-03,-0.9483,cells,871,consolidated_dataset
MCO,2019-03,-0.9359,nearest_cell,0,consolidated_dataset
MDA,2019-03,-0.6812,cells,63,consolidated_dataset
MDG,2019-03,0.1027,cells,809,consolidated_dataset
MDV,2019-03,-0.732,nearest_cell,0,consolidated_dataset
MEX,2019-03,-0.075,cells,2789,consolidated_dataset
MHL,2019-03,-0.8488,nearest_cell,0,consolidated_dataset
MKD,2019-03,-0.6691,cells,44,consolidated_dataset
MLI,2019-03,0.4345,cells,1694,consolidated_dataset
MLT,2019-03,0.3429,nearest_cell,0,consolidated_dataset
MMR,2019-03,0.7805,cells,913,consolidated_dataset
MNE,2019-03,-0.5067,cells,27,consolidated_dataset
MNG,2019-03,-0.8667,cells,2945,consolidated_dataset
MNP,2019-03,0.0348,nearest_cell,0,consolidated_dataset
MOZ,2019-03,0.3138,cells,1075,consolidated_dataset
MRT,2019-03,0.557,cells,1445,consolidated_dataset
MSR,2019-03,-1.1992,nearest_cell,0,consolidated_dataset
MUS,2019-03,-0.8773,cells,3,consolidated_dataset
MWI,2019-03,0.6812,cells,160,consolidated_dataset
MYS,2019-03,-0.9975,cells,421,consolidated_dataset
NAM,2019-03,-1.7377,cells,1145,consolidated_dataset
NCL,2019-03,-1.1122,cells,27,consolidated_dataset
NER,2019-03,-0.3557,cells,1614,consolidated_dataset
NFK,2019-03,-1.1799,nearest_cell,0,consolidated_dataset
NGA,2019-03,0.6417,cells,1195,consolidated_dataset
NIC,2019-03,-1.1562,cells,164,consolidated_dataset
NIU,2019-03,-0.7717,nearest_cell,0,consolidated_dataset
NLD,2019-03,0.328,cells,75,consolidated_dataset
NOR,2019-03,0.3229,cells,1369,consolidated_dataset
NPL,2019-03,1.0306,cells,221,consolidated_dataset
NRU,2019-03,-0.8488,nearest_cell,0,consolidated_dataset
NZL,2019-03,-0.7767,cells,470,consolidated_dataset
OMN,2019-03,-0.7263,cells,437,consolidated_dataset
PAK,2019-03,1.0117,cells,1302,consolidated_dataset
PAN,2019-03,-1.6361,cells,98,consolidated_dataset
PCN,2019-03,-1.5429,nearest_cell,0,consolidated_dataset
PER,2019-03,0.836,cells,1705,consolidated_dataset
PHL,2019-03,-1.0949,cells,387,consolidated_dataset
PLW,2019-03,-0.5315,nearest_cell,0,consolidated_dataset
PNG,2019-03,0.5428,cells,612,consolidated_dataset
POL,2019-03,0.0523,cells,657,consolidated_dataset
PRI,2019-03,-0.4273,cells,12,consolidated_dataset
PRK,2019-03,-1.6795,cells,202,consolidated_dataset
PRT,2019-03,-1.0518,cells,155,consolidated_dataset
PRY,2019-03,-0.4994,cells,550,consolidated_dataset
PSE,2019-03,0.6797,cells,12,consolidated_dataset
PYF,2019-03,-0.2041,cells,3,consolidated_dataset
QAT,2019-03,-0.7671,cells,14,consolidated_dataset
RKS,2019-03,-0.7354,cells,19,consolidated_dataset
ROU,2019-03,-0.8759,cells,433,consolidated_dataset
RUS,2019-03,0.1037,cells,46684,consolidated_dataset
RWA,2019-03,-1.0628,cells,35,consolidated_dataset
SAU,2019-03,-0.3619,cells,2737,consolidated_dataset
SDN,2019-03,-0.5061,cells,2495,consolidated_dataset
SEN,2019-03,-0.0148,cells,267,consolidated_dataset
SGP,2019-03,-1.2833,nearest_cell,0,consolidated_dataset
SGS,2019-03,1.355,cells,8,consolidated_dataset
SHN,2019-03,0.1161,nearest_cell,0,consolidated_dataset
SLB,2019-03,-1.0367,cells,34,consolidated_dataset
SLE,2019-03,-1.4006,cells,91,consolidated_dataset
SLV,2019-03,-1.7721,cells,28,consolidated_dataset
SMR,2019-03,-0.9841,nearest_cell,0,consolidated_dataset
SOM,2019-03,-0.6257,cells,848,consolidated_dataset
SPM,2019-03,-0.5038,nearest_cell,0,consolidated_dataset
SRB,2019-03,-0.6713,cells,137,consolidated_dataset
SSD,2019-03,-1.3566,cells,821,consolidated_dataset
STP,2019-03,0.4681,cells,1,consolidated_dataset
SUR,2019-03,-1.5491,cells,187,consolidated_dataset
SVK,2019-03,-0.5204,cells,90,consolidated_dataset
SVN,2019-03,-0.3467,cells,39,consolidated_dataset
SWE,2019-03,0.8433,cells,1244,consolidated_dataset
SWZ,2019-03,0.3364,cells,25,consolidated_dataset
SXM,2019-03,-1.8304,nearest_cell,0,consolidated_dataset
SYC,2019-03,1.8192,nearest_cell,0,consolidated_dataset
SYR,2019-03,0.9095,cells,297,consolidated_dataset
TCA,2019-03,0.0359,nearest_cell,0,consolidated_dataset
TCD,2019-03,-0.2688,cells,1693,consolidated_dataset
TGO,2019-03,-0.0616,cells,74,consolidated_dataset
THA,2019-03,-0.4881,cells,692,consolidated_dataset
TJK,2019-03,-0.3029,cells,234,consolidated_dataset
TKM,2019-03,1.4221,cells,786,consolidated_dataset
TLS,2019-03,0.4928,cells,20,consolidated_dataset
TON,2019-03,1.3035,nearest_cell,0,consolidated_dataset
TTO,2019-03,-1.474,cells,6,consolidated_dataset
TUN,2019-03,0.0068,cells,243,consolidated_dataset
TUR,2019-03,0.4068,cells,1289,consolidated_dataset
TUV,2019-03,1.2127,nearest_cell,0,consolidated_dataset
TWN,2019-03,-0.0389,cells,52,consolidated_dataset
TZA,2019-03,-1.105,cells,1188,consolidated_dataset
UGA,2019-03,-1.3235,cells,291,consolidated_dataset
UKR,2019-03,-0.6763,cells,1135,consolidated_dataset
URY,2019-03,0.9164,cells,274,consolidated_dataset
USA,2019-03,0.812,cells,17568,consolidated_dataset
UZB,2019-03,0.5884,cells,769,consolidated_dataset
VAT,2019-03,-1.0254,nearest_cell,0,consolidated_dataset
VCT,2019-03,-0.9141,nearest_cell,0,consolidated_dataset
VEN,2019-03,-1.2866,cells,1190,consolidated_dataset
VGB,2019-03,-2.2737,nearest_cell,0,consolidated_dataset
VIR,2019-03,-1.6061,nearest_cell,0,consolidated_dataset
VNM,2019-03,0.0681,cells,447,consolidated_dataset
VUT,2019-03,-0.4879,cells,16,consolidated_dataset
WLF,2019-03,1.6757,nearest_cell,0,consolidated_dataset
WSM,2019-03,-0.2114,cells,5,consolidated_dataset
YEM,2019-03,-1.1708,cells,611,consolidated_dataset
ZAF,2019-03,-0.856,cells,1810,consolidated_dataset
ZMB,2019-03,-0.8726,cells,1000,consolidated_dataset
ZWE,2019-03,-0.4757,cells,529,consolidated_dataset
ABW,2019-04,-2.2006,cells,1,consolidated_dataset
AFG,2019-04,0.9967,cells,990,consolidated_dataset
AGO,2019-04,-0.8552,cells,1642,consolidated_dataset
AIA,2019-04,-1.9511,nearest_cell,0,consolidated_dataset
ALA,2019-04,0.2125,cells,2,consolidated_dataset
ALB,2019-04,-1.7147,cells,50,consolidated_dataset
AND,2019-04,-1.3818,cells,1,consolidated_dataset
ARE,2019-04,-0.0613,cells,98,consolidated_dataset
ARG,2019-04,-0.6423,cells,4441,consolidated_dataset
ARM,2019-04,0.2324,cells,46,consolidated_dataset
ASM,2019-04,-0.9919,nearest_cell,0,consolidated_dataset
ATA,2019-04,-0.1562,cells,95940,consolidated_dataset
ATF,2019-04,1.0413,cells,14,consolidated_dataset
ATG,2019-04,-1.676,cells,1,consolidated_dataset
AUS,2019-04,-0.9118,cells,11137,consolidated_dataset
AUT,2019-04,-0.5129,cells,156,consolidated_dataset
AZE,2019-04,0.6218,cells,150,consolidated_dataset
BDI,2019-04,-1.1323,cells,35,consolidated_dataset
BEL,2019-04,-0.0018,cells,62,consolidated_dataset
BEN,2019-04,-0.0598,cells,153,consolidated_dataset
BFA,2019-04,-0.3513,cells,363,consolidated_dataset
BGD,2019-04,0.3063,cells,194,consolidated_dataset
BGR,2019-04,-1.5794,cells,201,consolidated_dataset
BHR,2019-04,1.2761,cells,1,consolidated_dataset
BHS,2019-04,-0.1855,cells,11,consolidated_dataset
BIH,2019-04,-0.7155,cells,90,consolidated_dataset
BLM,2019-04,-1.9511,nearest_cell,0,consolidated_dataset
BLR,2019-04,-1.9524,cells,424,consolidated_dataset
BLZ,2019-04,-0.846,cells,28,consolidated_dataset
BMU,2019-04,0.7294,nearest_cell,0,consolidated_dataset
BOL,2019-04,0.1683,cells,1470,consolidated_dataset
BRA,2019-04,-0.1691,cells,11263,consolidated_dataset
BRB,2019-04,-0.601,nearest_cell,0,consolidated_dataset
BRN,2019-04,-0.5487,cells,8,consolidated_dataset
BTN,2019-04,0.6808,cells,58,consolidated_dataset
BWA,2019-04,-0.7411,cells,820,consolidated_dataset
CAF,2019-04,-1.215,cells,807,consolidated_dataset
CAN,2019-04,-0.2573,cells,26921,consolidated_dataset
CHE,2019-04,0.038,cells,80,consolidated_dataset
CHL,2019-04,-0.4735,cells,1228,consolidated_dataset
CHN,2019-04,-0.1921,cells,15166,consolidated_dataset
CIV,2019-04,0.2357,cells,419,consolidated_dataset
CMR,2019-04,-0.1995,cells,606,consolidated_dataset
COD,2019-04,-1.3762,cells,3025,consolidated_dataset
COG,2019-04,-0.5859,cells,450,consolidated_dataset
COK,2019-04,0.6821,nearest_cell,0,consolidated_dataset
COL,2019-04,-0.4333,cells,1487,consolidated_dataset
COM,2019-04,-0.141,cells,3,consolidated_dataset
CPV,2019-04,-1.1797,cells,3,consolidated_dataset
CRI,2019-04,-1.0631,cells,69,consolidated_dataset
CUB,2019-04,0.5355,cells,158,consolidated_dataset
CUW,2019-04,-1.9617,nearest_cell,0,consolidated_dataset
CYM,2019-04,0.5781,nearest_cell,0,consolidated_dataset
CYP,2019-04,2.1885,cells,16,consolidated_dataset
CZE,2019-04,-0.8986,cells,158,consolidated_dataset
DEU,2019-04,-0.524,cells,733,consolidated_dataset
DJI,2019-04,-0.6667,cells,28,consolidated_dataset
DMA,2019-04,-1.3595,nearest_cell,0,consolidated_dataset
DNK,2019-04,0.2666,cells,95,consolidated_dataset
DOM,2019-04,-0.4388,cells,69,consolidated_dataset
DZA,2019-04,0.5987,cells,3422,consolidated_dataset
ECU,2019-04,0.4774,cells,330,consolidated_dataset
EGY,2019-04,0.9549,cells,1486,consolidated_dataset
ERI,2019-04,-0.8368,cells,170,consolidated_dataset
ESH,2019-04,-0.7963,cells,129,consolidated_dataset
ESP,2019-04,-0.634,cells,858,consolidated_dataset
EST,2019-04,-0.3765,cells,114,consolidated_dataset
ETH,2019-04,-0.8391,cells,1472,consolidated_dataset
FIN,2019-04,0.1939,cells,984,consolidated_dataset
FJI,2019-04,0.5707,cells,22,consolidated_dataset
FLK,2019-04,1.0081,cells,23,consolidated_dataset
FRA,2019-04,-0.8749,cells,1148,consolidated_dataset
FRO,2019-04,-0.1585,cells,5,consolidated_dataset
FSM,2019-04,0.0668,nearest_cell,0,consolidated_dataset
GAB,2019-04,-0.2531,cells,337,consolidated_dataset
GBR,2019-04,-0.1911,cells,525,consolidated_dataset
GEO,2019-04,-0.3463,cells,123,consolidated_dataset
GGY,2019-04,-0.2007,nearest_cell,0,consolidated_dataset
GHA,2019-04,0.0614,cells,310,consolidated_dataset
GIN,2019-04,-0.0378,cells,322,consolidated_dataset
GMB,2019-04,-1.223,cells,18,consolidated_dataset
GNB,2019-04,-1.8393,cells,45,consolidated_dataset
GNQ,2019-04,-0.059,cells,31,consolidated_dataset
GRC,2019-04,-0.3383,cells,219,consolidated_dataset
GRD,2019-04,-1.0572,nearest_cell,0,consolidated_dataset
GRL,2019-04,-0.131,cells,10621,consolidated_dataset
GTM,2019-04,-1.0591,cells,151,consolidated_dataset
GUM,2019-04,-0.0522,nearest_cell,0,consolidated_dataset
GUY,2019-04,-1.8622,cells,274,consolidated_dataset
HKG,2019-04,1.0631,cells,2,consolidated_dataset
HMD,2019-04,1.4141,nearest_cell,0,consolidated_dataset
HND,2019-04,-0.7692,cells,152,consolidated_dataset
HRV,2019-04,-0.5992,cells,101,consolidated_dataset
HTI,2019-04,-0.1704,cells,38,consolidated_dataset
HUN,2019-04,-1.4466,cells,180,consolidated_dataset
IDN,2019-04,0.0022,cells,2380,consolidated_dataset
IMN,2019-04,0.3226,cells,1,consolidated_dataset
IND,2019-04,0.1008,cells,4427,consolidated_dataset
IOT,2019-04,0.0531,nearest_cell,0,consolidated_dataset
IRL,2019-04,1.0604,cells,153,consolidated_dataset
IRN,2019-04,1.323,cells,2489,consolidated_dataset
IRQ,2019-04,1.4217,cells,670,consolidated_dataset
ISL,2019-04,-0.1881,cells,306,consolidated_dataset
ISR,2019-04,1.5026,cells,34,consolidated_dataset
ITA,2019-04,-0.5657,cells,527,consolidated_dataset
JAM,2019-04,0.1429,cells,14,consolidated_dataset
JEY,2019-04,-0.1076,nearest_cell,0,consolidated_dataset
JOR,2019-04,1.585,cells,130,consolidated_dataset
JPN,2019-04,-0.4862,cells,605,consolidated_dataset
KAZ,2019-04,0.3094,cells,5164,consolidated_dataset
KEN,2019-04,-1.4299,cells,758,consolidated_dataset
KGZ,2019-04,-0.0601,cells,343,consolidated_dataset
KHM,2019-04,-0.6306,cells,242,consolidated_dataset
KIR,2019-04,0.5199,nearest_cell,0,consolidated_dataset
KNA,2019-04,-1.9511,nearest_cell,0,consolidated_dataset
KOR,2019-04,-0.4608,cells,155,consolidated_dataset
KWT,2019-04,0.7187,cells,24,consolidated_dataset
LAO,2019-04,-1.4613,cells,305,consolidated_dataset
LBN,2019-04,1.1162,cells,15,consolidated_dataset
LBR,2019-04,-0.6262,cells,120,consolidated_dataset
LBY,2019-04,0.4,cells,2353,consolidated_dataset
LCA,2019-04,-1.3005,cells,2,consolidated_dataset
LIE,2019-04,-0.2338,nearest_cell,0,consolidated_dataset
LKA,2019-04,-0.4632,cells,87,consolidated_dataset
LSO,2019-04,0.3954,cells,45,consolidated_dataset
LTU,2019-04,-2.0479,cells,150,consolidated_dataset
LUX,2019-04,0.1462,cells,5,consolidated_dataset
LVA,2019-04,-1.4759,cells,149,consolidated_dataset
MAC,2019-04,1.2972,nearest_cell,0,consolidated_dataset
MAF,2019-04,-1.9511,nearest_cell,0,consolidated_dataset
MAR,2019-04,-0.522,cells,871,consolidated_dataset
MCO,2019-04,0.1918,nearest_cell,0,consolidated_dataset
MDA,2019-04,-1.4807,cells,63,consolidated_dataset
MDG,2019-04,-0.2272,cells,815,consolidated_dataset
MDV,2019-04,0.0307,nearest_cell,0,consolidated_dataset
MEX,2019-04,-0.4057,cells,2790,consolidated_dataset
MHL,2019-04,-0.1216,nearest_cell,0,consolidated_dataset
MKD,2019-04,-1.9612,cells,44,consolidated_dataset
MLI,2019-04,0.1741,cells,1688,consolidated_dataset
MLT,2019-04,0.419,nearest_cell,0,consolidated_dataset
MMR,2019-04,-0.4429,cells,913,consolidated_dataset
MNE,2019-04,-0.8415,cells,27,consolidated_dataset
MNG,2019-04,-0.9841,cells,2939,consolidated_dataset
MNP,2019-04,-1.0457,nearest_cell,0,consolidated_dataset
MOZ,2019-04,0.5449,cells,1079,consolidated_dataset
MRT,2019-04,1.3834,cells,1445,consolidated_dataset
MSR,2019-04,-2.0478,nearest_cell,0,consolidated_dataset
MUS,2019-04,-0.8054,cells,3,consolidated_dataset
MWI,2019-04,0.55,cells,154,consolidated_dataset
MYS,2019-04,-1.0676,cells,426,consolidated_dataset
NAM,2019-04,-1.4212,cells,1145,consolidated_dataset
NCL,2019-04,0.0958,cells,27,consolidated_dataset
NER,2019-04,-0.5616,cells,1610,consolidated_dataset
NFK,2019-04,0.7114,nearest_cell,0,consolidated_dataset
NGA,2019-04,0.0495,cells,1200,consolidated_dataset
NIC,2019-04,-0.7047,cells,164,consolidated_dataset
NIU,2019-04,-0.9919,nearest_cell,0,consolidated_dataset
NLD,2019-04,-0.1374,cells,75,consolidated_dataset
NOR,2019-04,0.0262,cells,1370,consolidated_dataset
NPL,2019-04,1.1998,cells,213,consolidated_dataset
NRU,2019-04,-0.1216,nearest_cell,0,consolidated_dataset
NZL,2019-04,-0.3403,cells,470,consolidated_dataset
OMN,2019-04,-0.267,cells,437,consolidated_dataset
PAK,2019-04,0.9739,cells,1304,consolidated_dataset
PAN,2019-04,-1.4813,cells,98,consolidated_dataset
PCN,2019-04,-1.7045,nearest_cell,0,consolidated_dataset
PER,2019-04,0.4687,cells,1701,consolidated_dataset
PHL,2019-04,-1.1504,cells,387,consolidated_dataset
PLW,2019-04,-1.0937,nearest_cell,0,consolidated_dataset
PNG,2019-04,0.4677,cells,613,consolidated_dataset
POL,2019-04,-1.507,cells,654,consolidated_dataset
PRI,2019-04,-0.9267,cells,12,consolidated_dataset
PRK,2019-04,-0.9753,cells,202,consolidated_dataset
PRT,2019-04,-0.3997,cells,155,consolidated_dataset
PRY,2019-04,0.9364,cells,564,consolidated_dataset
PSE,2019-04,1.582,cells,12,consolidated_dataset
PYF,2019-04,-0.1981,cells,3,consolidated_dataset
QAT,2019-04,0.5381,cells,14,consolidated_dataset
RKS,2019-04,-1.5461,cells,19,consolidated_dataset
ROU,2019-04,-1.3784,cells,434,consolidated_dataset
RUS,2019-04,0.0096,cells,46642,consolidated_dataset
RWA,2019-04,-1.3389,cells,35,consolidated_dataset
SAU,2019-04,0.2026,cells,2735,consolidated_dataset
SDN,2019-04,-0.2668,cells,2498,consolidated_dataset
SEN,2019-04,-0.6061,cells,267,consolidated_dataset
SGP,2019-04,-1.1377,nearest_cell,0,consolidated_dataset
SGS,2019-04,0.8245,cells,8,consolidated_dataset
SHN,2019-04,-0.3976,nearest_cell,0,consolidated_dataset
SLB,2019-04,-0.8454,cells,34,consolidated_dataset
SLE,2019-04,-0.385,cells,91,consolidated_dataset
SLV,2019-04,-1.0268,cells,28,consolidated_dataset
SMR,2019-04,-1.5097,nearest_cell,0,consolidated_dataset
SOM,2019-04,-0.9366,cells,848,consolidated_dataset
SPM,2019-04,-0.1378,nearest_cell,0,consolidated_dataset
SRB,2019-04,-1.3295,cells,137,consolidated_dataset
SSD,2019-04,-1.7797,cells,821,consolidated_dataset
STP,2019-04,0.8304,cells,1,consolidated_dataset
SUR,2019-04,-1.6294,cells,187,consolidated_dataset
SVK,2019-04,-1.2383,cells,90,consolidated_dataset
SVN,2019-04,-0.0346,cells,39,consolidated_dataset
SWE,2019-04,0.1693,cells,1249,consolidated_dataset
SWZ,2019-04,0.6432,cells,25,consolidated_dataset
SXM,2019-04,-1.9511,nearest_cell,0,consolidated_dataset
SYC,2019-04,1.6305,nearest_cell,0,consolidated_dataset
SYR,2019-04,1.8445,cells,296,consolidated_dataset
TCA,2019-04,-0.141,nearest_cell,0,consolidated_dataset
TCD,2019-04,-0.3611,cells,1693,consolidated_dataset
TGO,2019-04,-0.0408,cells,74,consolidated_dataset
THA,2019-04,-1.0759,cells,691,consolidated_dataset
TJK,2019-04,-0.2242,cells,233,consolidated_dataset
TKM,2019-04,1.6091,cells,785,consolidated_dataset
TLS,2019-04,-0.4755,cells,20,consolidated_dataset
TON,2019-04,1.3105,nearest_cell,0,consolidated_dataset
TTO,2019-04,-1.4387,cells,6,consolidated_dataset
TUN,2019-04,0.2479,cells,243,consolidated_dataset
TUR,2019-04,-0.0782,cells,1293,consolidated_dataset
TUV,2019-04,0.4044,nearest_cell,0,consolidated_dataset
TWN,2019-04,-0.1415,cells,52,consolidated_dataset
TZA,2019-04,-1.1573,cells,1189,consolidated_dataset
UGA,2019-04,-1.9828,cells,291,consolidated_dataset
UKR,2019-04,-1.3278,cells,1116,consolidated_dataset
URY,2019-04,-0.5697,cells,274,consolidated_dataset
USA,2019-04,0.8338,cells,17538,consolidated_dataset
UZB,2019-04,0.8017,cells,770,consolidated_dataset
VAT,2019-04,-1.4641,nearest_cell,0,consolidated_dataset
VCT,2019-04,-1.4569,nearest_cell,0,consolidated_dataset
VEN,2019-04,-1.7239,cells,1191,consolidated_dataset
VGB,2019-04,-1.7245,nearest_cell,0,consolidated_dataset
VIR,2019-04,-1.2076,nearest_cell,0,consolidated_dataset
VNM,2019-04,-0.4161,cells,446,consolidated_dataset
VUT,2019-04,0.3079,cells,16,consolidated_dataset
WLF,2019-04,0.3097,nearest_cell,0,consolidated_dataset
WSM,2019-04,-0.2827,cells,5,consolidated_dataset
YEM,2019-04,-0.9131,cells,611,consolidated_dataset
ZAF,2019-04,-0.156,cells,1810,consolidated_dataset
ZMB,2019-04,-0.6258,cells,1000,consolidated_dataset
ZWE,2019-04,-0.1246,cells,530,consolidated_dataset
ABW,2019-05,-1.4388,cells,1,consolidated_dataset
AFG,2019-05,0.7326,cells,998,consolidated_dataset
AGO,2019-05,-1.0613,cells,1641,consolidated_dataset
AIA,2019-05,-0.7817,nearest_cell,0,consolidated_dataset
ALA,2019-05,-0.1211,cells,2,consolidated_dataset
ALB,2019-05,0.1653,cells,50,consolidated_dataset
AND,2019-05,-0.8003,cells,1,consolidated_dataset
ARE,2019-05,0.2042,cells,98,consolidated_dataset
ARG,2019-05,-0.1859,cells,4434,consolidated_dataset
ARM,2019-05,-0.4142,cells,46,consolidated_dataset
ASM,2019-05,-1.0765,nearest_cell,0,consolidated_dataset
ATA,2019-05,-0.3661,cells,95124,consolidated_dataset
ATF,2019-05,0.7164,cells,14,consolidated_dataset
ATG,2019-05,-0.795,cells,1,consolidated_dataset
AUS,2019-05,-0.4759,cells,11141,consolidated_dataset
AUT,2019-05,0.9446,cells,162,consolidated_dataset
AZE,2019-05,0.1485,cells,150,consolidated_dataset
BDI,2019-05,-0.2336,cells,35,consolidated_dataset
BEL,2019-05,0.1091,cells,62,consolidated_dataset
BEN,2019-05,0.2393,cells,151,consolidated_dataset
BFA,2019-05,-0.0869,cells,363,consolidated_dataset
BGD,2019-05,-0.416,cells,194,consolidated_dataset
BGR,2019-05,-1.0001,cells,201,consolidated_dataset
BHR,2019-05,1.8159,cells,1,consolidated_dataset
BHS,2019-05,-0.0312,cells,11,consolidated_dataset
BIH,2019-05,0.9025,cells,90,consolidated_dataset
BLM,2019-05,-0.7817,nearest_cell,0,consolidated_dataset
BLR,2019-05,-0.9427,cells,450,consolidated_dataset
BLZ,2019-05,-0.4531,cells,28,consolidated_dataset
BMU,2019-05,-0.8513,nearest_cell,0,consolidated_dataset
BOL,2019-05,0.2075,cells,1471,consolidated_dataset
BRA,2019-05,-0.0542,cells,11297,consolidated_dataset
BRB,2019-05,-0.4697,nearest_cell,0,consolidated_dataset
BRN,2019-05,-0.8539,cells,8,consolidated_dataset
BTN,2019-05,0.4053,cells,57,consolidated_dataset
BWA,2019-05,-1.439,cells,820,consolidated_dataset
CAF,2019-05,-1.2454,cells,807,consolidated_dataset
CAN,2019-05,-0.4317,cells,26860,consolidated_dataset
CHE,2019-05,0.4171,cells,78,consolidated_dataset
CHL,2019-05,-0.5614,cells,1236,consolidated_dataset
CHN,2019-05,-0.1722,cells,15184,consolidated_dataset
CIV,2019-05,0.371,cells,421,consolidated_dataset
CMR,2019-05,-0.1464,cells,605,consolidated_dataset
COD,2019-05,-0.8928,cells,3025,consolidated_dataset
COG,2019-05,-0.5985,cells,448,consolidated_dataset
COK,2019-05,0.3591,nearest_cell,0,consolidated_dataset
COL,2019-05,-0.3167,cells,1486,consolidated_dataset
COM,2019-05,0.2681,cells,3,consolidated_dataset
CPV,2019-05,-0.3935,cells,3,consolidated_dataset
CRI,2019-05,0.6442,cells,69,consolidated_dataset
CUB,2019-05,0.2303,cells,158,consolidated_dataset
CUW,2019-05,-1.7794,nearest_cell,0,consolidated_dataset
CYM,2019-05,0.5489,nearest_cell,0,consolidated_dataset
CYP,2019-05,1.1997,cells,16,consolidated_dataset
CZE,2019-05,0.057,cells,157,consolidated_dataset
DEU,2019-05,0.0537,cells,713,consolidated_dataset
DJI,2019-05,0.0444,cells,28,consolidated_dataset
DMA,2019-05,0.0263,nearest_cell,0,consolidated_dataset
DNK,2019-05,0.741,cells,103,consolidated_dataset
DOM,2019-05,-0.2128,cells,69,consolidated_dataset
DZA,2019-05,0.9566,cells,3418,consolidated_dataset
ECU,2019-05,0.48,cells,332,consolidated_dataset
EGY,2019-05,0.2849,cells,1486,consolidated_dataset
ERI,2019-05,-0.0399,cells,170,consolidated_dataset
ESH,2019-05,-0.3935,cells,129,consolidated_dataset
ESP,2019-05,-0.6877,cells,858,consolidated_dataset
EST,2019-05,-0.0528,cells,114,consolidated_dataset
ETH,2019-05,-0.5593,cells,1474,consolidated_dataset
FIN,2019-05,0.8335,cells,981,consolidated_dataset
FJI,2019-05,0.3486,cells,22,consolidated_dataset
FLK,2019-05,0.9364,cells,24,consolidated_dataset
FRA,2019-05,-0.4525,cells,1149,consolidated_dataset
FRO,2019-05,-1.4129,cells,5,consolidated_dataset
